filename,class,overall_score,num_problem_regions_fine,num_problem_regions_broad,max_z_score
Slice 1682.png,aa,92.3074,0,0,1.2252
aa_000150.png,aa,93.6513,0,0,0.9186
aa_000140.png,aa,91.9212,0,0,0.2004
aa_00083.png,aa,92.9803,0,0,-0.0793
aa_000142.png,aa,93.8074,0,0,0.6664
aa_000111.png,aa,91.9047,0,0,1.6556
aa_00061.png,aa,92.9348,0,0,0.7146
aa_000121.png,aa,90.6529,0,0,0.4651
aa_00031.png,aa,91.1899,0,0,0.1580
aa_00076.png,aa,93.2454,0,0,1.6440
Slice 1549.png,aa,92.2762,0,0,0.4124
aa_00038.png,aa,91.1579,0,0,2.5789
aa_00074.png,aa,93.3157,0,0,1.6408
aa_00092.png,aa,91.2557,0,0,0.1485
aa_000127.png,aa,93.8623,0,0,1.0021
aa_000106.png,aa,93.8393,0,0,1.9174
aa_00023.png,aa,91.5329,0,0,-0.2339
aa_000144.png,aa,92.7570,0,0,0.2473
aa_00054.png,aa,90.9657,0,0,0.0375
aa_00010.png,aa,93.5470,0,0,0.1657
a_00094.png,a,95.1025,0,0,2.4609
a_000134.png,a,92.9216,0,0,0.8304
a_00020.png,a,94.3424,1,0,3.7699
a_00059.png,a,92.9933,0,0,0.6092
Slice 909.png,a,93.0422,0,0,0.2409
a_000124.png,a,95.2530,0,0,1.1353
a_00088.png,a,94.4338,0,0,1.1769
a_00097.png,a,94.1657,0,0,1.4743
a_00018.png,a,92.8126,0,0,1.6914
a_000146.png,a,95.6692,0,0,0.7477
a_00012.png,a,92.6164,0,0,2.5456
a_000101.png,a,93.3077,0,0,0.1726
a_00042.png,a,93.9281,0,0,2.2088
a_00080.png,a,93.7194,0,0,1.4401
a_00023.png,a,92.4463,0,0,-0.1385
a_0008.png,a,93.0590,0,0,0.0192
a_00027.png,a,93.1813,0,0,0.6681
a_000127.png,a,94.6420,0,0,0.7944
a_000110.png,a,95.2250,0,0,0.3983
a_00025.png,a,96.1485,0,0,2.6922
ka_00079.png,ka,93.4920,0,0,2.3241
ka_00024.png,ka,92.6160,0,0,0.2020
ka_00074.png,ka,94.8719,0,0,1.9314
ka_000115.png,ka,95.0697,0,0,2.5484
ka_00090.png,ka,95.4292,0,0,1.5496
ka_000102.png,ka,92.4719,0,0,2.3822
ka_00098.png,ka,94.5863,0,0,2.2266
ka_00028.png,ka,92.4801,0,0,0.6337
ka_00027.png,ka,93.2584,0,0,0.0071
ka_00012.png,ka,92.7136,0,0,0.5556
ka_000109.png,ka,95.0215,1,1,4.7736
ka_000101.png,ka,94.1548,0,0,0.8189
ka_00048.png,ka,93.8022,0,0,2.9172
ka_00018.png,ka,93.8448,0,0,0.2531
ka_00060.png,ka,93.4550,0,0,1.6825
ka_00019.png,ka,94.0740,0,0,1.1740
ka_00089.png,ka,96.0896,0,0,0.3469
ka_000105.png,ka,93.5598,0,0,0.8120
ka_00013.png,ka,92.7129,0,0,0.1107
ka_00044.png,ka,93.9136,0,0,2.6148
da_00044.png,da,94.3775,0,0,2.0279
da_00053.png,da,93.0261,0,0,2.3057
Slice 767.png,da,95.1279,0,0,0.5031
da_00034.png,da,94.1938,0,0,2.9615
da_00063.png,da,93.5860,0,0,1.8843
da_00090.png,da,95.1594,0,0,1.2939
da_00048.png,da,95.4437,0,0,2.5465
da_00081.png,da,95.4553,0,0,5.2300
Slice 1138.png,da,94.9095,0,0,1.8781
Slice 763.png,da,95.5026,0,0,3.2120
da_00094.png,da,94.0182,0,1,5.2240
da_00083.png,da,96.1720,0,0,0.1603
da_00089.png,da,94.1075,0,0,-0.6831
da_00058.png,da,94.2414,0,0,1.8138
da_00066.png,da,92.9778,0,0,0.3617
da_00086.png,da,95.6624,1,0,3.7984
da_0004.png,da,93.4872,0,0,0.8633
da_00031.png,da,92.8227,0,0,3.2213
da_00095.png,da,95.1443,0,0,0.8441
da_0006.png,da,93.0692,0,0,1.2938
dda_00064.png,dda,94.5454,0,0,3.5737
dda_00071.png,dda,94.1333,0,1,3.8818
Slice 1166.png,dda,93.6218,0,0,1.3705
Slice 1167.png,dda,94.5650,0,0,1.7812
dda_00031.png,dda,92.1199,0,0,1.9092
Slice 1165.png,dda,93.2631,0,0,1.7397
dda_00020.png,dda,93.9251,0,0,3.0771
dda_00034.png,dda,94.6483,0,0,3.0411
dda_00090.png,dda,95.8126,1,0,4.3250
dda_00088.png,dda,95.1490,0,0,1.6779
dda_000100.png,dda,95.7439,0,0,2.7158
Slice 1781.png,dda,94.1313,0,0,1.7015
dda_00096.png,dda,92.4715,0,0,1.6206
dda_00082.png,dda,95.5986,0,0,-0.0136
dda_000104.png,dda,95.6460,1,0,4.4701
dda_00044.png,dda,94.4303,0,0,2.1251
dda_00068.png,dda,94.3135,1,0,7.4356
dda_0009.png,dda,92.8547,0,0,0.6521
dda_00097.png,dda,92.8502,0,0,1.8204
Slice 796.png,dda,95.0008,0,0,3.7397
